Age,Country,EdLevel,WorkExp,YearsCode,Employment,RemoteWork,OrgSize,Industry,ICorPM,NewRole,PurchaseInfluence,LearnCodeAI,ToolCountWork,ToolCountPersonal,AIThreat,AIFrustration,AISent,AIComplex,AIAgentChange,ConvertedCompYearly,JobSat
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,10.0,Employed,In-person,20 to 99 employees,Software Development,Individual contributor,I have transitioned into a new career and/or industry voluntarily,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",4.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly;It’s hard to understand how or why the code works",Favorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,34035.0,8.0
55-64 years old,Ireland,Some college/university study without earning a degree,31.0,41.0,Employed,Remote,"10,000 or more employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I didn't spend time learning in the past year",5.0,5.0,No,"AI solutions that are almost right, but not quite;I don’t use AI tools regularly;It’s hard to understand how or why the code works",Indifferent,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,78890.0,8.0
25-34 years old,Japan,"Associate degree (A.A., A.S., etc.)",10.0,11.0,Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",Fintech,Individual contributor,I have transitioned into a new career and/or industry voluntarily,No,"No, I didn't spend time learning in the past year",10.0,2.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Indifferent,Very poor at handling complex tasks,"No, but my development work has changed somewhat due to non-AI factors",48362.0,4.0
45-54 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",14.0,14.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Higher Education,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I didn't spend time learning in the past year",3.0,5.0,No,I don’t use AI tools regularly,Indifferent,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,46406.0,9.0
35-44 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,15.0,Not employed,Not Specified,Not Specified,Not Specified,Not Specified,I have strongly considered changing my career and/or the industry I work in,Not Specified,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",1.0,1.0,No,"AI solutions that are almost right, but not quite;I don’t use AI tools regularly",Indifferent,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,60000.0,8.0
25-34 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,15.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks",Not Specified,77987.0,4.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,22.0,Employed,Remote,"10,000 or more employees",Fintech,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,5.0,I'm not sure,I haven’t encountered any problems,Very favorable,Very well at handling complex tasks,"Yes, to a great extent",170177.0,8.0
18-24 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,6.0,Employed,Remote,100 to 499 employees,Other:,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",10.0,15.0,No,Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly,Favorable,Very poor at handling complex tasks,"No, but my development work has significantly changed due to non-AI factors",82315.0,9.0
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,10.0,Employed,Remote,"1,000 to 4,999 employees",Other:,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",15.0,50.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",77987.0,5.0
35-44 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,12.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Software Development,People manager,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",7.0,3.0,I'm not sure,Debugging AI-generated code is more time-consuming,Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",77987.0,9.0
18-24 years old,Czech Republic,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4.0,9.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",3.0,10.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Indifferent,Bad at handling complex tasks,"No, but my development work has changed somewhat due to non-AI factors",32764.0,6.0
25-34 years old,Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,15.0,Employed,In-person,500 to 999 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I didn't spend time learning in the past year",6.0,7.0,No,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works",Favorable,Bad at handling complex tasks,"Yes, somewhat",116015.0,6.0
25-34 years old,Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,10.0,Employed,Remote,100 to 499 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,7.0,I'm not sure,I don’t use AI tools regularly,Favorable,Bad at handling complex tasks,"No, but my development work has changed somewhat due to non-AI factors",6548.0,7.0
25-34 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,20.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees","Internet, Telecomm or Information Services",Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,2.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works",Favorable,Bad at handling complex tasks,Not at all or minimally,69609.0,8.0
35-44 years old,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,24.0,Employed,Remote,500 to 999 employees,Media & Advertising Services,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Very favorable,"Good, but not great at handling complex tasks",Not at all or minimally,88171.0,8.0
55-64 years old,Ireland,Some college/university study without earning a degree,30.0,30.0,Employed,Remote,100 to 499 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,3.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Indifferent,Bad at handling complex tasks,"Yes, to a great extent",92812.0,8.0
35-44 years old,Greece,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,24.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Manufacturing,Not Specified,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,10.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,Very poor at handling complex tasks,"Yes, somewhat",87011.0,0.0
